title,publication_date,source,domain,url,region,collector,location_mention
إسرائيل ترصد صاروخا أطلق من اليمن,2025-04-23 16:15:00+00:00,Syria,skynewsarabia.com,https://www.skynewsarabia.com/middle-east/1791653-%D8%A7%D9%95%D8%B3%D8%B1%D8%A7%D9%8A%D9%94%D9%8A%D9%84-%D8%AA%D8%B1%D8%B5%D8%AF-%D8%B5%D8%A7%D8%B1%D9%88%D8%AE%D8%A7-%D8%A7%D9%94%D8%B7%D9%84%D9%82-%D8%A7%D9%84%D9%8A%D9%85%D9%86,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Yemen appoints new prime minister after cabinet resigned , council says",2025-05-04 16:15:00+00:00,Singapore,asiaone.com,https://www.asiaone.com/asia/yemen-appoints-new-prime-minister-after-cabinet-resigned-council-says,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Tre personer drept i amerikansk angrep i Jemen , ifølge houthiene",2025-04-10 10:30:00+00:00,Norway,idag.no,https://idag.no/nyhetsstudio/vis/tre-personer-drept-i-amerikansk-angrep-i-jemen-ifolge-houthiene/3f.1144,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美国航母再遭胡塞武装袭击 ！ 美军空袭也门多地 ， B - 2轰炸机现身 ： 可携带核弹 ， 以及重达3万磅的重型钻地炸弹,2025-04-12 00:30:00+00:00,China,163.com,https://www.163.com/dy/article/JSU9IOKC0512B07B.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美国航母再遭胡塞武装袭击 ！ 美军空袭也门多地 ， B - 2轰炸机现身 ： 可携带核弹 ， 以及重达3万磅的重型钻地炸弹 - 华龙网,2025-04-12 03:00:00+00:00,China,cqnews.net,https://www.cqnews.net/1/detail/1360533262039203840/web/content_1360533262039203840.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美国航母再遭胡塞武装袭击 ！ 美军空袭也门多地 _ 东方财富网,2025-04-12 02:45:00+00:00,China,finance.eastmoney.com,https://finance.eastmoney.com/a/202504123375059689.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美国航母再遭胡塞武装袭击 ！ 美军空袭也门多地 ， B - 2轰炸机现身 ： 可携带核弹 ， 以及重达3万磅的重型钻地炸弹,2025-04-12 01:00:00+00:00,China,nbd.com.cn,https://www.nbd.com.cn/articles/2025-04-12/3829185.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
胡塞武装 ： 又打美国航母了 引发红海局势紧张 _ 军事频道 _ 中华网,2025-04-10 02:00:00+00:00,China,military.china.com,https://military.china.com/news/13004177/20250410/48192633.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Israeli media reports new missile attack from Yemen – Middle East Monitor,2025-05-12 11:45:00+00:00,Israel,middleeastmonitor.com,https://www.middleeastmonitor.com/20250512-israeli-media-reports-new-missile-attack-from-yemen/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
特朗普 ： 美国船只应免费通过苏伊士和巴拿马运河,2025-04-27 01:30:00+00:00,China,news.ifeng.com,https://news.ifeng.com/c/8iszjr5jUc2,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
أبو عبيدة : لن ننسى وقفة إخواننا في اليمن,2025-04-13 18:00:00+00:00,Israel,aljazeera.net,https://www.aljazeera.net/news/2025/4/13/%D8%B9%D8%A7%D8%AC%D9%84-%D8%A3%D8%A8%D9%88-%D8%B9%D8%A8%D9%8A%D8%AF%D8%A9-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86-%D9%88%D8%B4%D8%B9%D8%A8%D9%87%D8%A7-%D9%84%D9%86-%D9%8A%D9%86%D8%B3%D9%88%D8%A7,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Houthis say U . S . strike in Yemen hits migrant detention center in Saada , killing at least 35",2025-04-28 08:45:00+00:00,United States,cbsnews.com,https://www.cbsnews.com/news/houthis-us-strikes-yemen-saada-migrant-detention-center-deaths/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
